"marriages","date"
4012,1993-01-01
4841,1993-02-01
5301,1993-03-01
4527,1993-04-01
4369,1993-05-01
4265,1993-06-01
4851,1993-07-01
4542,1993-08-01
4297,1993-09-01
5063,1993-10-01
5213,1993-11-01
6179,1993-12-01
4119,1994-01-01
4824,1994-02-01
5272,1994-03-01
4294,1994-04-01
4771,1994-05-01
4364,1994-06-01
4606,1994-07-01
4558,1994-08-01
4186,1994-09-01
5011,1994-10-01
5373,1994-11-01
6013,1994-12-01
4137,1995-01-01
4715,1995-02-01
5203,1995-03-01
4045,1995-04-01
4351,1995-05-01
4360,1995-06-01
4175,1995-07-01
4556,1995-08-01
3963,1995-09-01
4579,1995-10-01
5065,1995-11-01
5737,1995-12-01
3766,1996-01-01
4573,1996-02-01
5122,1996-03-01
3958,1996-04-01
4588,1996-05-01
3703,1996-06-01
4467,1996-07-01
4583,1996-08-01
3925,1996-09-01
4968,1996-10-01
5129,1996-11-01
5783,1996-12-01
3903,1997-01-01
4703,1997-02-01
4218,1997-03-01
4958,1997-04-01
4439,1997-05-01
4032,1997-06-01
4484,1997-07-01
4586,1997-08-01
3910,1997-09-01
5059,1997-10-01
4837,1997-11-01
5863,1997-12-01
3642,1998-01-01
4578,1998-02-01
4770,1998-03-01
4367,1998-04-01
4202,1998-05-01
4134,1998-06-01
4474,1998-07-01
4144,1998-08-01
3828,1998-09-01
5014,1998-10-01
4963,1998-11-01
5616,1998-12-01
3549,1999-01-01
4126,1999-02-01
4988,1999-03-01
4158,1999-04-01
4169,1999-05-01
4009,1999-06-01
4295,1999-07-01
4236,1999-08-01
3977,1999-09-01
4808,1999-10-01
4854,1999-11-01
5538,1999-12-01
3638,2000-01-01
4458,2000-02-01
4843,2000-03-01
4117,2000-04-01
4216,2000-05-01
4299,2000-06-01
3932,2000-07-01
4359,2000-08-01
3913,2000-09-01
4426,2000-10-01
4699,2000-11-01
4717,2000-12-01
3286,2001-01-01
4122,2001-02-01
4754,2001-03-01
3669,2001-04-01
3949,2001-05-01
3730,2001-06-01
3699,2001-07-01
4071,2001-08-01
3561,2001-09-01
4296,2001-10-01
4297,2001-11-01
4484,2001-12-01
2976,2002-01-01
3818,2002-02-01
3849,2002-03-01
4032,2002-04-01
3745,2002-05-01
3063,2002-06-01
3388,2002-07-01
3572,2002-08-01
2917,2002-09-01
3739,2002-10-01
3754,2002-11-01
3842,2002-12-01
2535,2003-01-01
3198,2003-02-01
3461,2003-03-01
3204,2003-04-01
2939,2003-05-01
2722,2003-06-01
3048,2003-07-01
3110,2003-08-01
2675,2003-09-01
3355,2003-10-01
3206,2003-11-01
3699,2003-12-01
2076,2004-01-01
2924,2004-02-01
3640,2004-03-01
3734,2004-04-01
3945,2004-05-01
3351,2004-06-01
3613,2004-07-01
3611,2004-08-01
3257,2004-09-01
3863,2004-10-01
4060,2004-11-01
4252,2004-12-01
2940,2005-01-01
3931,2005-02-01
3933,2005-03-01
4237,2005-04-01
3538,2005-05-01
3933,2005-06-01
3443,2005-07-01
3517,2005-08-01
3323,2005-09-01
3773,2005-10-01
4125,2005-11-01
3965,2005-12-01
2738,2006-01-01
3778,2006-02-01
4201,2006-03-01
3339,2006-04-01
3671,2006-05-01
3490,2006-06-01
3346,2006-07-01
3535,2006-08-01
3451,2006-09-01
3607,2006-10-01
3972,2006-11-01
3318,2006-12-01
2541,2007-01-01
3400,2007-02-01
3890,2007-03-01
3093,2007-04-01
3568,2007-05-01
3458,2007-06-01
3651,2007-07-01
3509,2007-08-01
3055,2007-09-01
3943,2007-10-01
3648,2007-11-01
3671,2007-12-01
2037,2008-01-01
2887,2008-02-01
2538,2008-03-01
3300,2008-04-01
2709,2008-05-01
2696,2008-06-01
2729,2008-07-01
2767,2008-08-01
2468,2008-09-01
3328,2008-10-01
3094,2008-11-01
3415,2008-12-01
2018,2009-01-01
3104,2009-02-01
2853,2009-03-01
2580,2009-04-01
2176,2009-05-01
2439,2009-06-01
2576,2009-07-01
2729,2009-08-01
2656,2009-09-01
2916,2009-10-01
2827,2009-11-01
3209,2009-12-01
